SBSMID	Unigene	active	Molecule
SBSM1413	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM350269	DNMT3B	false	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM477663	DNMT3B	true	Nc1nc(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM482949	DNMT3B	false	CSc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483116	DNMT3B	false	Nc1nc(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483549	DNMT3B	true	Cc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM484929	DNMT3B	false	NC(CCSCC1OC(n2cnc3cncnc32)C(O)C1O)C(=O)O
SBSM485376	DNMT3B	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM7711	DNMT3B	false	NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM9598	DNMT3B	false	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM13008	DNMT3B	false	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
SBSM37539	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM37540	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM477645	DNMT3B	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM483117	DNMT3B	false	CN1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CC1C(=O)O
SBSM483575	DNMT3B	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM481074	DNMT3B	true	Nc1ncnc2c1ccn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM480578	DNMT3B	false	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C1O
SBSM481941	DNMT3B	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)C(O)C2O)CN1
SBSM483257	DNMT3B	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)C(O)C2O)CN1
SBSM483856	DNMT3B	false	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C1O
SBSM28828	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483749	DNMT3B	true	COc1cc(CNc2ncnc3c2ncn3C2OC(CSCCC(N)C(=O)O)C(O)C2O)cc(OC)c1
