ASID	MID	Mnmols	ASnmols
AS1	M343	1	1
AS1	M342	1	1
AS2	M1373	1	1
AS3	M918	1	1
AS3	M920	1	1
AS3	M917	1	1
AS3	M921	1	1
AS3	M916	1	1
AS3	M919	1	1
AS3	M922	1	1
AS4	M1307	1	16
AS4	M1318	1	16
AS4	M1302	1	16
AS4	M1313	1	16
AS4	M1314	1	16
AS4	M1274	1	16
AS4	M1312	1	16
AS4	M1275	1	16
AS4	M1310	1	16
AS4	M745	1	16
AS4	M1277	1	16
AS4	M743	2	16
AS4	M1309	1	16
AS4	M1308	1	16
AS4	M1326	1	16
AS4	M1304	1	16
AS4	M1317	2	16
AS4	M1324	1	16
AS4	M1325	1	16
AS4	M742	14	16
AS4	M744	2	16
AS4	M1301	1	16
AS4	M1316	2	16
AS4	M1320	1	16
AS4	M1328	1	16
AS4	M1323	2	16
AS4	M746	1	16
AS4	M1311	1	16
AS4	M1321	1	16
AS4	M1303	1	16
AS4	M1327	1	16
AS4	M1305	1	16
AS4	M1315	1	16
AS4	M1306	1	16
AS4	M1276	1	16
AS4	M1292	1	16
AS4	M1319	1	16
AS4	M1293	1	16
AS4	M1322	1	16
AS5	M1594	1	1
AS5	M1593	1	1
AS6	M1893	1	3
AS6	M1834	3	3
AS6	M1895	1	3
AS6	M1835	3	3
AS6	M1894	1	3
AS6	M1891	1	3
AS6	M1833	2	3
AS6	M1890	1	3
AS6	M1892	1	3
AS7	M1506	1	1
AS7	M1505	1	1
AS8	M1064	1	20
AS8	M1755	1	20
AS8	M1742	1	20
AS8	M1068	1	20
AS8	M1753	1	20
AS8	M1242	1	20
AS8	M1752	1	20
AS8	M1756	1	20
AS8	M437	1	20
AS8	M1740	1	20
AS8	M1243	1	20
AS8	M1733	1	20
AS8	M1060	1	20
AS8	M1244	1	20
AS8	M1736	1	20
AS8	M1203	1	20
AS8	M767	1	20
AS8	M1416	1	20
AS8	M1741	1	20
AS8	M768	1	20
AS8	M1727	1	20
AS8	M434	1	20
AS8	M1422	1	20
AS8	M1751	1	20
