ASID	WID
AS1	W120
AS2	W500
AS3	W336
AS4	W472
AS4	W466
AS4	W284
AS4	W469
AS4	W468
AS4	W475
AS4	W463
AS4	W458
AS4	W457
AS4	W470
AS4	W467
AS4	W476
AS4	W474
AS4	W477
AS4	W473
AS4	W471
AS5	W623
AS6	W756
AS6	W735
AS6	W757
AS7	W574
AS8	W695
AS8	W687
AS8	W522
AS8	W430
AS8	W689
AS8	W524
AS8	W690
AS8	W691
AS8	W291
AS8	W381
AS8	W685
AS8	W694
AS8	W693
AS8	W684
AS8	W446
AS8	W688
AS8	W686
AS8	W383
AS8	W157
AS8	W692
AS9	W11
AS10	W308
AS10	W63
AS10	W629
AS10	W349
AS10	W627
AS10	W632
AS10	W361
AS10	W630
AS10	W643
AS10	W395
AS10	W669
AS10	W637
AS10	W599
AS10	W636
AS10	W598
AS10	W664
AS10	W602
AS10	W348
AS10	W668
AS10	W449
AS10	W656
AS10	W631
AS10	W429
AS10	W601
AS10	W663
AS10	W396
AS10	W144
AS10	W661
AS10	W658
AS10	W633
AS10	W662
AS10	W634
AS10	W729
AS10	W659
AS10	W530
AS10	W332
AS10	W600
AS10	W660
AS10	W635
AS10	W657
AS10	W333
AS10	W654
AS11	W780
AS12	W220
AS12	W347
AS12	W807
AS13	W370
AS14	W582
AS15	W123
AS16	W83
AS16	W382
AS16	W281
AS16	W441
AS16	W652
AS16	W653
AS16	W649
AS16	W287
AS16	W306
AS16	W358
AS16	W651
AS16	W648
AS16	W650
AS17	W545
AS18	W611
AS19	W131
AS19	W188
AS19	W229
AS19	W191
AS19	W189
AS20	W328
AS21	W499
AS22	W41
AS22	W18
AS22	W342
AS22	W805
AS22	W728
AS22	W340
AS22	W321
AS22	W806
AS22	W21
AS22	W448
AS22	W319
AS22	W341
AS22	W322
AS22	W42
AS22	W44
AS22	W343
AS22	W309
AS22	W327
AS22	W791
AS22	W320
AS22	W62
AS22	W775
AS22	W43
AS22	W318
AS22	W19
AS22	W313
AS22	W311
AS22	W796
AS22	W804
AS22	W20
AS22	W803
AS22	W344
AS22	W478
AS22	W331
AS23	W808
AS24	W799
AS25	W12
AS26	W260
AS26	W269
AS26	W263
AS26	W255
AS26	W256
AS26	W264
AS26	W259
AS26	W271
AS26	W254
AS26	W262
AS26	W268
AS26	W266
AS26	W267
AS26	W257
AS26	W261
AS26	W258
AS26	W270
AS27	W143
AS27	W176
AS27	W155
AS27	W154
AS27	W153
AS28	W380
AS29	W360
AS29	W385
AS29	W289
AS29	W624
AS29	W625
AS29	W445
AS29	W626
AS29	W283
AS30	W743
AS30	W749
AS30	W67
AS30	W747
AS30	W740
AS30	W746
AS30	W68
AS30	W742
AS30	W745
AS31	W192
AS32	W440
AS33	W272
AS34	W379
AS35	W378
AS35	W177
AS35	W512
AS36	W496
AS36	W503
AS37	W431
AS38	W377
AS38	W443
AS38	W149
AS38	W148
AS38	W159
AS38	W150
AS38	W511
AS39	W310
AS39	W323
AS39	W534
AS39	W536
AS39	W533
AS39	W532
AS39	W535
AS40	W713
AS41	W273
AS41	W277
AS41	W276
AS41	W275
AS41	W274
AS42	W130
AS43	W87
AS44	W302
AS45	W219
AS46	W708
AS47	W98
AS47	W96
AS47	W95
AS48	W597
AS49	W74
AS50	W351
AS51	W72
AS51	W73
AS51	W71
AS52	W13
AS53	W187
AS53	W509
AS54	W716
AS55	W376
AS55	W196
AS56	W453
AS56	W456
AS56	W455
AS56	W454
AS57	W488
AS58	W70
AS58	W46
AS58	W334
AS58	W49
AS58	W47
AS58	W52
AS58	W51
AS58	W50
AS58	W45
AS58	W48
AS59	W170
AS60	W698
AS60	W232
AS60	W450
AS60	W697
AS61	W700
AS62	W505
AS63	W462
AS64	W508
AS65	W404
AS65	W424
AS65	W402
AS65	W403
AS66	W346
AS67	W54
AS68	W354
AS68	W355
AS68	W797
AS69	W364
AS69	W365
AS70	W579
AS71	W24
AS72	W672
AS72	W175
AS72	W678
AS72	W676
AS72	W413
AS72	W679
AS72	W673
AS72	W99
AS72	W444
AS72	W677
AS72	W405
AS72	W515
AS72	W675
AS73	W151
AS74	W701
AS75	W286
AS76	W167
AS76	W206
AS77	W617
AS78	W227
AS78	W224
AS78	W226
AS78	W225
AS79	W251
AS80	W738
AS81	W129
AS82	W181
AS82	W168
AS82	W92
AS82	W93
AS83	W724
AS84	W641
AS85	W588
AS86	W61
AS87	W725
AS88	W565
AS89	W412
AS89	W784
AS89	W783
AS89	W726
AS89	W782
AS90	W244
AS91	W174
AS92	W202
AS92	W199
AS92	W183
AS92	W198
AS92	W201
AS92	W142
AS92	W200
AS93	W37
AS93	W30
AS93	W31
AS94	W758
AS95	W483
AS95	W166
AS95	W165
AS95	W482
AS96	W10
AS97	W407
AS98	W428
AS99	W304
AS100	W610
AS100	W510
AS100	W59
AS100	W531
AS101	W82
AS101	W85
AS101	W36
AS101	W29
AS101	W32
AS101	W39
AS101	W40
AS101	W375
AS101	W35
AS101	W38
AS101	W33
AS101	W442
AS102	W789
AS102	W786
AS103	W162
AS103	W211
AS103	W213
AS103	W161
AS103	W210
AS103	W212
AS104	W145
AS105	W184
AS106	W683
AS107	W585
AS107	W592
AS107	W589
AS108	W97
AS108	W480
AS109	W387
AS109	W388
AS110	W556
AS111	W793
AS111	W247
AS112	W197
AS113	W583
AS114	W207
AS115	W771
AS116	W736
AS117	W671
AS118	W160
AS118	W542
AS118	W53
AS118	W540
AS118	W64
AS118	W537
AS118	W541
AS118	W767
AS118	W324
AS118	W538
AS118	W539
AS118	W421
AS118	W543
AS118	W544
AS119	W230
AS120	W134
AS121	W397
AS122	W682
AS123	W717
AS124	W117
AS125	W748
AS125	W66
AS125	W65
AS125	W744
AS126	W741
AS127	W7
AS127	W4
AS127	W3
AS127	W5
AS127	W781
AS128	W209
AS129	W119
AS129	W357
AS129	W305
AS129	W297
AS130	W755
AS130	W751
AS130	W203
AS130	W754
AS131	W461
AS132	W335
AS132	W345
AS133	W367
AS134	W528
AS135	W352
AS136	W646
AS137	W727
AS137	W802
AS137	W338
AS137	W317
AS137	W316
AS137	W339
AS137	W337
