CMPD_CHEMBLID	Molecule	PCHEMBL_VALUE	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
CHEMBL104264	Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.52	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	W0	27	446	M1	CCNCCNS(=O)(=O)c1cccc2cnccc12	19	279
CHEMBL1315166	Cl.Cl.Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.23	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	W0	27	446	M1	CCNCCNS(=O)(=O)c1cccc2cnccc12	19	279
CHEMBL227381	Clc1ccc(COCCNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.58	O=S(=O)(NCCNCCOCc1ccc(Cl)cc1)c1cccc2cnccc12	W301	28	420	M1	CCNCCNS(=O)(=O)c1cccc2cnccc12	19	279
CHEMBL104264	Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.52	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	W0	27	446	M2	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	27	446
CHEMBL1315166	Cl.Cl.Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.23	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	W0	27	446	M2	O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12	27	446
CHEMBL3672066	Brc1cnc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn12)c7ccccc7	7.85	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn12	W1	38	563	M3	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)ccn12	32	487
CHEMBL3672066	Brc1cnc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn12)c7ccccc7	7.85	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn12	W1	38	563	M4	Brc1cnc2nc(-c3ccc(CN4CC(c5nc[nH]n5)C4)cc3)ccn12	26	410
CHEMBL3672066	Brc1cnc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn12)c7ccccc7	7.85	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn12	W1	38	563	M5	Brc1cnc2nc(-c3ccc(CN4CC(c5nc[nH]n5)C4)cc3)c(-c3ccccc3)cn12	32	486
CHEMBL3672066	Brc1cnc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn12)c7ccccc7	7.85	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn12	W1	38	563	M6	Brc1cnc2nc(-c3ccc(CN4CC(c5n[nH]c(-c6ccccn6)n5)C4)cc3)c(-c3ccccc3)cn12	38	563
CHEMBL3639709	C(N1CC(C1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8	8.3	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)cc1	W2	40	526	M7	c1ccc(-c2nc(C3CN(Cc4ccc(-c5ccn6nc(C7CC7)nc6n5)cc4)C3)n[nH]2)nc1	34	450
CHEMBL3639709	C(N1CC(C1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8	8.3	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)cc1	W2	40	526	M8	c1nc(C2CN(Cc3ccc(-c4ccn5nc(C6CC6)nc5n4)cc3)C2)n[nH]1	28	372
CHEMBL3672039	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccc(F)cc7)C8CC8)C3	7.57	Cc1cccc(-c2nc(C3CN(Cc4ccc(-c5nc6nc(C7CC7)nn6cc5-c5ccc(F)cc5)cc4)C3)n[nH]2)n1	W171	42	558	M8	c1nc(C2CN(Cc3ccc(-c4ccn5nc(C6CC6)nc5n4)cc3)C2)n[nH]1	28	372
CHEMBL3672041	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3	8.0	Cc1cccc(-c2nc(C3CN(Cc4ccc(-c5nc6nc(C7CC7)nn6cc5-c5ccccc5)cc4)C3)n[nH]2)n1	W172	41	540	M8	c1nc(C2CN(Cc3ccc(-c4ccn5nc(C6CC6)nc5n4)cc3)C2)n[nH]1	28	372
CHEMBL3639709	C(N1CC(C1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8	8.3	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)cc1	W2	40	526	M9	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4nc[nH]n4)C3)cc2)cc1	34	449
CHEMBL3672041	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3	8.0	Cc1cccc(-c2nc(C3CN(Cc4ccc(-c5nc6nc(C7CC7)nn6cc5-c5ccccc5)cc4)C3)n[nH]2)n1	W172	41	540	M9	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4nc[nH]n4)C3)cc2)cc1	34	449
CHEMBL3639709	C(N1CC(C1)c2n[nH]c(n2)c3ccccn3)c4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8	8.3	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)cc1	W2	40	526	M10	c1ccc(-c2cn3nc(C4CC4)nc3nc2-c2ccc(CN3CC(c4n[nH]c(-c5ccccn5)n4)C3)cc2)cc1	40	526
CHEMBL429703	C(N1CCC(CC1)c2cc([nH]n2)c3ccccc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	5.8	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1	W3	40	522	M11	c1cnc2nc(-c3ccc(CN4CCC(c5cc[nH]n5)CC4)cc3)ccc2c1	28	369
CHEMBL259982	C(N1CCC(CC1)c2cc([nH]n2)c3ccccn3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.55	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1	W4	40	523	M11	c1cnc2nc(-c3ccc(CN4CCC(c5cc[nH]n5)CC4)cc3)ccc2c1	28	369
CHEMBL407733	C(N1CCC(CC1)c2cc([nH]n2)c3cccnc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.05	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5cccnc5)[nH]n4)CC3)cc2)cc1	W5	40	523	M11	c1cnc2nc(-c3ccc(CN4CCC(c5cc[nH]n5)CC4)cc3)ccc2c1	28	369
CHEMBL261540	C(N1CCC(CC1)c2cc([nH]n2)c3ccncc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.58	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccncc5)[nH]n4)CC3)cc2)cc1	W7	40	523	M11	c1cnc2nc(-c3ccc(CN4CCC(c5cc[nH]n5)CC4)cc3)ccc2c1	28	369
CHEMBL260184	O=C1NC=C(C=C1)c2cc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncccc6cc5c7ccccc7)CC3	7.08	O=c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)c[nH]1	W781	41	539	M11	c1cnc2nc(-c3ccc(CN4CCC(c5cc[nH]n5)CC4)cc3)ccc2c1	28	369
CHEMBL429703	C(N1CCC(CC1)c2cc([nH]n2)c3ccccc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	5.8	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1	W3	40	522	M12	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc[nH]n4)CC3)cc2)cc1	34	446
CHEMBL259982	C(N1CCC(CC1)c2cc([nH]n2)c3ccccn3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.55	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1	W4	40	523	M12	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc[nH]n4)CC3)cc2)cc1	34	446
CHEMBL407733	C(N1CCC(CC1)c2cc([nH]n2)c3cccnc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.05	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5cccnc5)[nH]n4)CC3)cc2)cc1	W5	40	523	M12	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc[nH]n4)CC3)cc2)cc1	34	446
CHEMBL261540	C(N1CCC(CC1)c2cc([nH]n2)c3ccncc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.58	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccncc5)[nH]n4)CC3)cc2)cc1	W7	40	523	M12	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc[nH]n4)CC3)cc2)cc1	34	446
CHEMBL260184	O=C1NC=C(C=C1)c2cc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncccc6cc5c7ccccc7)CC3	7.08	O=c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)c[nH]1	W781	41	539	M12	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc[nH]n4)CC3)cc2)cc1	34	446
CHEMBL429703	C(N1CCC(CC1)c2cc([nH]n2)c3ccccc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	5.8	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1	W3	40	522	M13	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5ccc6cccnc6n5)cc4)CC3)n[nH]2)cc1	34	446
CHEMBL429703	C(N1CCC(CC1)c2cc([nH]n2)c3ccccc3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	5.8	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1	W3	40	522	M14	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5nc6ncccc6cc5-c5ccccc5)cc4)CC3)n[nH]2)cc1	40	522
CHEMBL259982	C(N1CCC(CC1)c2cc([nH]n2)c3ccccn3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.55	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1	W4	40	523	M15	c1ccc(-c2cc(C3CCN(Cc4ccc(-c5ccc6cccnc6n5)cc4)CC3)n[nH]2)nc1	34	447
CHEMBL259982	C(N1CCC(CC1)c2cc([nH]n2)c3ccccn3)c4ccc(cc4)c5nc6ncccc6cc5c7ccccc7	6.55	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1	W4	40	523	M16	c1ccc(-c2cc3cccnc3nc2-c2ccc(CN3CCC(c4cc(-c5ccccn5)[nH]n4)CC3)cc2)cc1	40	523
