ASID	MID	Mnmols	ASnmols
AS1	M287	1	1
AS1	M286	1	1
AS1	M288	1	1
AS2	M613	1	1
AS2	M609	1	1
AS2	M611	1	1
AS2	M612	1	1
AS2	M610	1	1
AS3	M552	1	1
AS3	M554	1	1
AS3	M553	1	1
AS4	M603	1	1
AS4	M604	1	1
AS4	M605	1	1
AS5	M703	2	6
AS5	M707	1	6
AS5	M702	1	6
AS5	M705	2	6
AS5	M699	2	6
AS5	M706	1	6
AS5	M700	1	6
AS5	M704	1	6
AS5	M77	1	6
AS5	M75	2	6
AS5	M701	2	6
AS5	M76	2	6
AS6	M632	1	1
AS6	M633	1	1
AS7	M464	1	1
AS7	M465	1	1
AS8	M272	1	1
AS8	M273	1	1
AS9	M166	1	1
AS9	M168	1	1
AS9	M169	1	1
AS9	M167	1	1
AS9	M170	1	1
AS10	M14	7	8
AS10	M72	1	8
AS10	M64	1	8
AS10	M53	2	8
AS10	M54	1	8
AS10	M43	1	8
AS10	M73	1	8
AS10	M51	2	8
AS10	M52	1	8
AS10	M44	1	8
AS10	M67	1	8
AS10	M13	6	8
AS10	M46	1	8
AS10	M66	1	8
AS10	M45	1	8
AS10	M65	1	8
AS11	M388	1	1
AS11	M387	1	1
AS11	M391	1	1
AS11	M390	1	1
AS11	M393	1	1
AS11	M392	1	1
AS11	M389	1	1
AS11	M394	1	1
AS12	M107	1	1
AS12	M104	1	1
AS12	M106	1	1
AS12	M105	1	1
AS13	M171	2	2
AS13	M173	1	2
AS13	M176	1	2
AS13	M174	2	2
AS13	M172	2	2
AS13	M184	1	2
AS13	M185	1	2
AS13	M183	1	2
AS13	M175	1	2
AS14	M709	1	1
AS14	M708	1	1
AS14	M710	1	1
AS15	M310	2	2
AS15	M315	1	2
AS15	M314	1	2
AS15	M311	1	2
AS15	M317	1	2
AS15	M313	1	2
AS15	M316	1	2
AS15	M312	2	2
AS16	M68	1	1
AS17	M133	1	1
AS18	M60	1	1
AS18	M59	1	1
AS19	M399	1	1
AS20	M349	1	1
AS21	M124	1	7
AS21	M577	1	7
AS21	M127	1	7
AS21	M120	1	7
AS21	M119	1	7
AS21	M126	1	7
AS21	M117	7	7
AS21	M125	1	7
AS21	M578	1	7
AS21	M122	1	7
AS21	M129	1	7
AS21	M118	1	7
AS21	M440	1	7
AS21	M128	2	7
AS21	M123	1	7
AS21	M130	1	7
AS21	M121	1	7
AS21	M441	1	7
AS22	M593	1	1
AS22	M594	1	1
AS22	M595	1	1
AS22	M592	1	1
AS23	M439	1	1
AS23	M438	1	1
AS24	M111	1	1
AS25	M147	1	1
AS25	M146	1	1
AS25	M148	1	1
AS26	M218	1	1
AS26	M216	1	1
AS26	M221	1	1
AS26	M220	1	1
AS26	M219	1	1
AS26	M217	1	1
AS27	M254	1	1
AS27	M252	1	1
AS27	M251	1	1
AS27	M253	1	1
AS28	M278	1	3
AS28	M406	1	3
AS28	M405	1	3
AS28	M276	1	3
AS28	M275	2	3
AS28	M274	2	3
AS28	M277	1	3
AS29	M23	1	1
AS30	M643	1	1
AS30	M645	1	1
AS30	M646	1	1
AS30	M644	1	1
AS30	M642	1	1
AS31	M470	1	1
AS31	M472	1	1
AS31	M471	1	1
AS31	M474	1	1
AS31	M473	1	1
AS32	M88	1	1
AS32	M87	1	1
AS32	M89	1	1
AS33	M55	1	1
AS33	M56	1	1
AS34	M84	1	1
AS34	M85	1	1
AS34	M83	1	1
AS35	M658	1	1
AS35	M656	1	1
AS35	M657	1	1
AS36	M158	1	2
AS36	M160	1	2
AS36	M159	1	2
AS36	M156	1	2
AS36	M157	2	2
AS36	M155	2	2
AS37	M26	1	2
AS37	M25	2	2
AS37	M108	1	2
AS38	M32	1	1
AS38	M31	1	1
AS39	M165	1	1
AS40	M99	1	1
AS40	M100	1	1
AS41	M189	2	2
AS41	M192	1	2
AS41	M195	1	2
AS41	M193	1	2
AS41	M196	1	2
AS41	M191	2	2
AS41	M194	1	2
AS41	M197	1	2
AS41	M190	2	2
AS42	M450	1	1
AS42	M451	1	1
AS42	M448	1	1
AS42	M449	1	1
AS43	M573	1	1
AS43	M572	1	1
AS44	M208	1	1
AS44	M204	1	1
AS44	M209	1	1
AS44	M206	1	1
AS44	M205	1	1
AS44	M207	1	1
AS45	M569	1	1
AS45	M570	1	1
AS45	M565	1	1
AS45	M567	1	1
AS45	M568	1	1
AS45	M571	1	1
AS45	M566	1	1
AS46	M480	1	1
AS46	M478	1	1
AS46	M481	1	1
AS46	M479	1	1
AS47	M619	1	1
AS47	M620	1	1
AS48	M384	1	1
AS48	M386	1	1
AS48	M385	1	1
AS49	M375	1	1
AS49	M374	1	1
AS49	M373	1	1
AS49	M372	1	1
AS50	M350	1	1
AS51	M101	1	1
AS51	M103	1	1
AS51	M102	1	1
