SBSMID	Unigene	active	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
SBSM1413	DNMT3B	True	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M1	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C=O)C(O)C1O	25	368
SBSM1413	DNMT1	True	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M1	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C=O)C(O)C1O	25	368
SBSM1413	DNMT3A	False	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M1	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C=O)C(O)C1O	25	368
SBSM1413	DNMT3B	True	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M2	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	26	384
SBSM1413	DNMT1	True	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M2	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	26	384
SBSM1413	DNMT3A	False	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	W0	26	384	M2	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	26	384
SBSM350269	DNMT3B	False	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	W1	27	397	M3	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	22	326
SBSM350269	DNMT3A	False	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	W1	27	397	M3	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	22	326
SBSM9598	DNMT3B	False	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	W9	22	326	M3	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	22	326
SBSM9598	DNMT1	False	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	W9	22	326	M3	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	22	326
